,전주생화케이크 더키플라워 전북대점,바우카페,진스갤러리,청동북카페,올드스터프,브라운오델리,플로리아,카페 후우링,더팟틀럭,추탄1438,청수당 전주,밀롱커피,카페 온더힐,카운드리,짹팥,오아카페,오늘의날씨,꿀비 송천점,카페상상,PNB 풍년제과 본점,The 마시랑게,교동다원,너의고요 카페,어노렌지,구카페,워커비 전주,샘샘커피,카페한채,"평화와 평화, 커피 상점",성수미술관 전주점
친절해요,0.172523962,0.145374449,0.102990033,0.12173913,0.090548341,0.116264295,0.084226646,0.093871595,0.090146751,0.029850746,0.077743902,0.112773303,0.058902999,0.09474008,0.152849741,0.103580563,0.123316062,0.094202899,0.197452229,0.11626764,0.08465177,0.111760409,0.094822208,0.084605598,0.128521127,0.073510265,0.112845138,0.064681725,0.067989354,0.16025641
인테리어가 멋져요,0.124600639,0.134361233,0.161129568,0.134782609,0.089466089,0.080050826,0.093415008,0.147859922,0.067085954,0.126260589,0.144817073,0.087456847,0.105376925,0.136265764,0.051813472,0.061381074,0.100518135,0.028985507,0.006369427,0.027662712,0.186103409,0.11541271,0.122270742,0.137086514,0.072183099,0.190285428,0.066026411,0.137577002,0.122671183,0.051282051
매장이 청결해요,0.111821086,0.055066079,0.056478405,0.004347826,0.05952381,0.116899619,0.033690658,0.050097276,0.083857442,0.038321904,0.028963415,0.064441887,0.077546609,0.026145801,0.075129534,0.043478261,0.103626943,0.062801932,0.082802548,0.066629221,0.094927418,0.03944485,0.053025577,0.090648855,0.056338028,0.057386079,0.069627851,0.029774127,0.033873699,0.118589744
디저트가 맛있어요,0.102236422,0.112334802,0.142857143,0.05,0.218614719,0.057179161,0.217457887,0.189202335,0.073375262,0.132311416,0.012195122,0.081703107,0.132937044,0.156874808,0.17746114,0.117647059,0.101554404,0.246376812,0.108280255,0.018395001,0.056271408,0.07815924,0.075483468,0.087468193,0.177816901,0.092538808,0.18607443,0.167864476,0.178562787,0.006410256
커피가 맛있어요,0.073482428,0.160792952,0.171096346,0.135869565,0.262626263,0.039390089,0.136294028,0.142996109,0.115303983,0.182734974,0.115853659,0.285385501,0.124020535,0.17625346,0.123056995,0.157289003,0.152331606,0.140096618,0.121019108,0.025345784,0.037677377,0,0.143480973,0.137722646,0.172535211,0.140711067,0.235294118,0.117556468,0.196709412,0.009615385
특별한 메뉴가 있어요,0.073482428,0.019823789,0.03820598,0.020652174,0.037518038,0.076874206,0.094946401,0.076361868,0.15932914,0.032271077,0.164634146,0.016110472,0.03431505,0.03291295,0.158031088,0.023017903,0.03626943,0.11352657,0.063694268,0.185915889,0.103082695,0.081811541,0.027448534,0.029262087,0.066901408,0.072108162,0.079231693,0.089322382,0.055891604,0
사진이 잘 나와요,0.063897764,0.035242291,0.054817276,0.029347826,0.015873016,0.000635324,0.013782542,0.067607004,0.041928721,0.058894716,0.077743902,0.019562716,0.067549311,0.039680098,0.028497409,0.04859335,0.047668394,0.009661836,0.025477707,0.010531489,0.063611156,0.047479912,0.094822208,0.069974555,0.038732394,0.096244367,0.027611044,0.085215606,0.054681829,0.092948718
선물하기 좋아요,0.03514377,0,0,0,0,0,0.001531394,0.000486381,0,0,0,0,0,0,0,0,0,0,0,0,0.000163106,0,0,0,0.001760563,0.003405108,0,0.000513347,0,0
주차하기 편해요,0.03514377,0.008810573,0,0.004347826,0.008297258,0.013977128,0.006125574,0.000486381,0.018867925,0.052037112,0.018292683,0.01726122,0.074034045,0.001845586,0.006476684,0.02173913,0.011398964,0.004830918,0.070063694,0.015024925,0.002283477,0.00073046,0,0.006679389,0.012323944,0.000701052,0,0,0.00193564,0.006410256
주문제작을 잘해줘요,0.028753994,0.002202643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010015,0,0,0,0
가성비가 좋아요,0.022364217,0.008810573,0.009966777,0.013043478,0.01046176,0.032401525,0.026033691,0.002918288,0.033542977,0.011698265,0.025914634,0.019562716,0.003512564,0.011381114,0.03626943,0.014066496,0.021761658,0.038647343,0.057324841,0.044793934,0.014353287,0.011687363,0.00062383,0.007633588,0.059859155,0.002403605,0.012004802,0.004620123,0.009436245,0.016025641
특별한 날 가기 좋아요,0.022364217,0,0,0,0,0.007623888,0,0,0,0,0.00152439,0,0,0,0,0,0,0,0,0.00028084,0.000326211,0,0.013724267,0,0,0.000500751,0,0.000513347,0.000241955,0.006410256
음료가 맛있어요,0.019169329,0.099118943,0.098006645,0.097826087,0.07972583,0.015247776,0.10719755,0.102626459,0.064989518,0.068979427,0.076219512,0.105868815,0.08727371,0.117502307,0.069948187,0.089514066,0.106735751,0.09178744,0.095541401,0.022326757,0.053172403,0.025566107,0.07922645,0.07697201,0.110915493,0.066099149,0.103241297,0.126796715,0.100169368,0.019230769
비싼 만큼 가치있어요,0.019169329,0,0.00166113,0,0.000721501,0,0,0.000486381,0,0.003630496,0.006097561,0,0.000540394,0.001230391,0.001295337,0,0,0.002415459,0,0.001685038,0.000652422,0.00073046,0,0.000636132,0.001760563,0.00430646,0.00120048,0.001540041,0,0.009615385
매장이 넓어요,0.019169329,0.002202643,0.008305648,0.002173913,0.004689755,0.113087675,0.001531394,0.000486381,0.006289308,0.02622025,0,0.003452244,0.009727101,0.002153184,0,0.001278772,0.003108808,0.002415459,0,0.008565611,0.001794161,0,0,0.007951654,0.001760563,0.042363545,0.00240096,0.002053388,0.00580692,0.012820513
뷰가 좋아요,0.019169329,0.004405286,0.033222591,0.045652174,0.006493506,0.011435832,0.007656968,0.018968872,0.020964361,0.162968939,0.019817073,0.010356732,0.105376925,0.019071055,0,0.225063939,0.01761658,0.002415459,0.057324841,0.004984905,0.06312184,0.048210373,0.102932002,0.146946565,0.014084507,0.025638458,0.00240096,0.027720739,0.012823615,0.003205128
포장이 깔끔해요,0.015974441,0,0,0,0.00036075,0.000635324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000163106,0,0,0,0,0.000701052,0,0,0,0
빵이 맛있어요,0.006389776,0.004405286,0,0,0.002886003,0.001270648,0.001531394,0.001945525,0.006289308,0.002420331,0.173780488,0,0.001621183,0.001537988,0,0,0,0,0,0.404479393,0,0,0,0.000318066,0,0.000901352,0.00240096,0,0.000241955,0
아늑해요,0.006389776,0,0.008305648,0.005434783,0.000721501,0,0.006125574,0.02188716,0.008385744,0,0.00304878,0.006904488,0,0.02768379,0.00388601,0.006393862,0.001036269,0.004830918,0.006369427,0.001263779,0.002446583,0.009495982,0.048034934,0.001908397,0.001760563,0.006309464,0.00240096,0.02412731,0.00145173,0.003205128
음식이 맛있어요,0.006389776,0,0.003322259,0,0.001082251,0.158831004,0.013782542,0.002431907,0.020964361,0.002823719,0.00152439,0,0.024047555,0.003691172,0.006476684,0,0,0.002415459,0,0.003229657,0.072092644,0,0,0,0.00528169,0.001402103,0.00120048,0.002053388,0.00048391,0
재료가 신선해요,0.006389776,0,0.00166113,0,0,0.066073698,0.003062787,0.000486381,0.004192872,0,0,0,0,0.000615195,0.002590674,0,0,0.002415459,0,0.000702099,0,0,0,0,0,0.000600901,0.003601441,0,0,0
메뉴 구성이 알차요,0.006389776,0,0,0,0,0.001270648,0.007656968,0.000972763,0.004192872,0.001210165,0,0,0.000270197,0.002460781,0.001295337,0,0.001036269,0.002415459,0.006369427,0.009197501,0.000326211,0,0.00062383,0.000636132,0,0.002203305,0,0.001540041,0.000241955,0
차분한 분위기에요,0.003194888,0.00660793,0.008305648,0.00326087,0.001443001,0.001270648,0.004594181,0.005836576,0.004192872,0.000806777,0.00152439,0.009205984,0.000810592,0.009535528,0.00388601,0.003836317,0,0.002415459,0,0.00021063,0.001631055,0.010956903,0.001871491,0.001590331,0,0.006509765,0.004801921,0.007186858,0.00532301,0.019230769
컨셉이 독특해요,0.003194888,0,0.003322259,0.001086957,0,0,0.003062787,0.005350195,0,0,0.015243902,0,0,0.001230391,0,0,0,0,0,7.02E-05,0.001141739,0.00073046,0,0.000318066,0,0.006009014,0,0.002053388,0.005564965,0.080128205
대화하기 좋아요,0.003194888,0.0969163,0.046511628,0.077173913,0.061688312,0.010165184,0.079632466,0.038424125,0.090146751,0.021782977,0.009146341,0.074798619,0.037017022,0.067671486,0.042746114,0.051150895,0.067357513,0.086956522,0.057324841,0.009057081,0.040776382,0.084002922,0.006862133,0.04389313,0.038732394,0.044867301,0.043217287,0.06724846,0.062424389,0.057692308
좌석이 편해요,0,0.044052863,0.006644518,0.022826087,0.025613276,0.000635324,0.030627871,0.001945525,0.023060797,0.008874546,0.006097561,0.025316456,0.004323156,0.004306367,0.010362694,0.015345269,0.049740933,0.031400966,0.012738854,0.004704065,0.007992171,0.010956903,0.001871491,0.018129771,0.017605634,0.004006009,0.008403361,0.007186858,0.00871038,0.025641026
집중하기 좋아요,0,0.026431718,0.009966777,0.098913043,0.013708514,0.001270648,0.010719755,0.00729572,0.008385744,0.002016942,0.00152439,0.016110472,0.006754931,0.041218087,0.020725389,0.007672634,0.025906736,0.009661836,0.006369427,0.004142386,0.00146795,0.025566107,0,0.021628499,0.012323944,0.012919379,0.012004802,0.012320329,0.065327849,0.192307692
화장실이 깨끗해요,0,0.017621145,0.014950166,0.032608696,0.007215007,0.032401525,0.003062787,0.006322957,0.039832285,0.022993142,0.004573171,0.019562716,0.025398541,0.003383574,0.014248705,0.00511509,0.029015544,0.014492754,0.012738854,0.006038054,0.017289186,0.020452885,0.001871491,0.023536896,0.003521127,0.016925388,0.015606242,0.011293634,0.00677474,0.048076923
음악이 좋아요,0,0.013215859,0.006644518,0,0,0,0.001531394,0.005836576,0,0,0,0.00575374,0.000270197,0.006151953,0.001295337,0.002557545,0,0,0,0,0.033599739,0,0.002495321,0.001272265,0.001760563,0.009514271,0.00240096,0.003593429,0.001693685,0.028846154
단체모임 하기 좋아요,0,0.002202643,0,0,0,0.014612452,0,0,0,0.001613554,0,0.001150748,0,0,0,0,0,0,0,7.02E-05,0.003099005,0,0,0.000318066,0,0.000701052,0,0,0,0
오래 머무르기 좋아요,0,0,0.006644518,0,0.00036075,0.000635324,0.001531394,0,0,0.000806777,0,0.001150748,0.001350986,0.003383574,0.001295337,0,0,0,0,0.00021063,0.02772794,0.00073046,0.028696195,0.000318066,0,0.001001502,0,0,0.000241955,0.019230769
야외 공간이 멋져요,0,0,0.00166113,0.002173913,0,0,0,0.000972763,0,0.006050827,0.009146341,0.010356732,0.004052959,0.003383574,0,0,0,0,0.006369427,7.02E-05,0.0029359,0.002191381,0.076731129,0.000954198,0,0.006810215,0,0.000513347,0,0
차가 맛있어요,0,0,0.00166113,0,0,0,0,0,0,0,0,0,0,0.000922793,0.001295337,0.001278772,0,0,0.006369427,0,0.000326211,0.263696129,0.01996257,0,0,0.000600901,0,0,0.000241955,0
종류가 다양해요,0,0,0.00166113,0,0.00036075,0.000635324,0,0.000972763,0.002096436,0.000806777,0,0,0,0.000615195,0.001295337,0,0,0,0,0.004353016,0,0.003652301,0,0.000636132,0,0.001502253,0,0.001540041,0.000241955,0.003205128
읽을만한 책이 많아요,0,0,0,0.094565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001247661,0,0,0,0,0,0,0
